,Modelname,Group,test_accuracy_best_val_acc,test_accuracy_best_val_loss,test_accuracy_terminal,test_loss_best_val_acc,test_loss_best_val_loss,test_loss_terminal,test_per_class_accuracy_best_val_acc,test_per_class_accuracy_best_val_loss,test_per_class_accuracy_terminal,train_accuracy,train_loss,train_per_class_accuracy,val_accuracy,val_loss,val_per_class_accuracy
209,VGG_pretrained_True_aug_True_lr_0.001_wd_0.0001_g_0.99,VGG,0.8,0.7428571428571429,0.8095238095238095,1.3253140338829583,1.1236797878430005,1.2500196699274793,0.8000000000000002,0.7428571428571429,0.8095238095238094,0.9963547995139732,0.010734883256108768,0.9947883192551314,0.9239482200647248,0.36558870088706896,0.9287467614673498
210,VGGAdapted_pretrained_True_aug_False_lr_0.0001_wd_0.001_g_0.98,VGGAdapted,0.8,0.8285714285714286,0.819047619047619,0.6281707312734354,0.5797655433771156,0.4898704797029495,0.7999999999999999,0.8285714285714286,0.8190476190476191,1.0,0.0002535852273843047,1.0,0.9117647058823528,0.2464213566306759,0.903030303030303
211,VGGAdapted_pretrained_True_aug_True_lr_0.0001_wd_0.001_g_0.99,VGGAdapted,0.7714285714285715,0.7619047619047619,0.7904761904761904,1.3335134925076133,1.5047904860032888,1.3574714470169662,0.7714285714285714,0.7619047619047619,0.7904761904761904,1.0,0.0009454391398180152,1.0,0.941747572815534,0.2022225200937018,0.9328004475063296
212,VGGAdapted_pretrained_True_aug_False_lr_0.001_wd_0.0001_g_0.99,VGGAdapted,0.8,0.7904761904761904,0.819047619047619,0.9894556251664955,0.9804791503364132,0.7388254147200357,0.7999999999999999,0.7904761904761904,0.8190476190476191,1.0,0.0015427207945322152,1.0,0.8823529411764706,0.3724467919331373,0.8696969696969697
213,VGG_pretrained_False_aug_False_lr_0.0001_wd_1e-05_g_0.96,VGG,0.380952380952381,0.4380952380952381,0.380952380952381,4.032959415799096,1.4414134865715391,4.032959415799096,0.380952380952381,0.43809523809523815,0.380952380952381,0.9628252788104088,0.0637605607675797,0.9549220272904484,0.4705882352941176,2.6618446532417748,0.4842657342657343
214,VGG_pretrained_True_aug_False_lr_1e-05_wd_1e-05_g_0.96,VGG,0.8,0.8,0.8,0.47038944136528743,0.4618933555625734,0.46955464908054895,0.7999999999999999,0.7999999999999999,0.7999999999999999,1.0,0.001180914101462645,1.0,0.8823529411764706,0.2845482721048243,0.8727272727272727
215,VGG_pretrained_True_aug_False_lr_1e-05_wd_0.01_g_0.97,VGG,0.8095238095238095,0.8,0.8,0.47237234129792166,0.46239035072780793,0.47126596442290714,0.8095238095238096,0.7999999999999999,0.8000000000000002,1.0,0.0009465887216456428,1.0,0.8823529411764706,0.2823786700473112,0.8727272727272727
216,VGG_pretrained_True_aug_False_lr_0.001_wd_0.0001_g_0.99,VGG,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8168189926871232,0.8060582147999888,1.073414268947783,0.8095238095238096,0.8095238095238096,0.8095238095238096,1.0,0.0027668835448324473,1.0,0.8970588235294118,0.5123668030342635,0.8863636363636364
217,VGG_pretrained_False_aug_True_lr_0.0001_wd_1e-05_g_0.97,VGG,0.5142857142857142,0.4,0.4857142857142857,2.1480090436481296,1.466227931068057,1.9521781331016903,0.5142857142857143,0.4,0.4857142857142857,0.848521668691778,0.364946346140043,0.7154913611012838,0.7184466019417476,0.8550908110288354,0.551553391626921
218,VGG_pretrained_False_aug_False_lr_0.001_wd_0.01_g_0.99,VGG,0.3333333333333333,0.3333333333333333,0.3904761904761905,1.296534037590027,1.296534037590027,10684292888.461653,0.3333333333333333,0.3333333333333333,0.3904761904761904,0.8698884758364313,0.39395879857159016,0.860366020653102,0.35294117647058826,119755110761.41176,0.31153846153846154
219,VGG_pretrained_True_aug_False_lr_0.0001_wd_0.001_g_0.99,VGG,0.819047619047619,0.7904761904761904,0.819047619047619,0.5845206907817295,0.4885092887140456,0.5964636469348555,0.8190476190476191,0.7904761904761904,0.8190476190476191,0.9925650557620818,0.009629536312563363,0.9909844054580896,0.8235294117647058,0.5375596195021096,0.8030303030303031
